2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
Kronberger 40          ;Car  ;10 55 05.0 -61 29 42 ;Op   ;OC?  ;    1.00;      ;       ;                                                       ;
Kronberger 72          ;Cyg  ;20 12 19.7 +37 52 48 ;Op   ;OC   ;   10.80;  1073;   8.85;                                                       ;
Kronberger 76          ;Cyg  ;20 18 57.0 +39 00 12 ;Op   ;OC?  ;    5.50;      ;       ;                                                       ;
Kronberger 77          ;Cyg  ;20 34 42.0 +32 31 48 ;Op   ;OC?  ;    3.00;      ;       ;HD 196197 Grp                                          ;
Kronberger 8           ;Car  ;11 08 27.0 -58 58 42 ;Op   ;OC?  ;    7.00;      ;       ;                                                       ;
Kronberger 91          ;Gem  ;06 44 23.5 +19 24 06 ;Op   ;OC?  ;    4.00;  3120;       ;                                                       ;Dubious
Kronberger 92 A        ;Aur  ;05 35 20.0 +44 09 49 ;Op   ;OC   ;   21.00;   791;       ;                                                       ;
Kronberger 92 B        ;Mon  ;06 52 12.4 +02 13 21 ;Op   ;OC?  ;    1.80;      ;       ;                                                       ;
Kronberger J0259+6416  ;Cas  ;02 59 24.0 +64 16 18 ;Op   ;OC?  ;    1.70;      ;       ;                                                       ;
Kronberger J0604+0911  ;Ori  ;06 04 14.0 +09 11 48 ;Op   ;OC?  ;    7.00;      ;       ;GSC 717-377 Grp                                        ;
Kronberger J0732+0601  ;CMi  ;07 32 24.7 +05 59 58 ;Op   ;OC?  ;    8.00;  3550;       ;                                                       ;Alessi: Derived a GRD2 solution, but somewhat uncertain
Kronberger J1105-6036  ;Car  ;11 05 52.0 -60 36 48 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
Kronberger-Patchick 1  ;Cam  ;03 23 44.0 +67 21 00 ;Op   ;OCR? ;    7.00;  5000;       ;                                                       ;Peculiar with 0.5' compact core with 8+ stars
Kupco 15               ;Cep  ;21 52 18.0 +62 45 00 ;Op   ;OC   ;   60.00;   968;       ;                                                       ;
L1641/H 4-255 Cl       ;Ori  ;05 39 19.0 -07 26 20 ;Op   ;OC   ;   20.00;   480;       ;                                                       ;From Porras+, 2003
LAMOST 1               ;Dra  ;18 20 00.0 +52 19 48 ;Op   ;GCR  ;  480.00;  2600;  10.04;                                                       ;
LB 11                  ;Sco  ;17 25 56.0 -36 57 37 ;IR   ;OC   ;    0.60;      ;       ;Lima-Bica 11                                           ;
LB 13                  ;Sco  ;17 20 18.0 -35 55 40 ;IR   ;OC?  ;    1.20;      ;       ;Lima-Bica 13                                           ;In NGC 6334, rel. NGC6334 XE
LB 14                  ;Sco  ;17 20 18.0 -35 54 15 ;IR   ;OC?  ;    0.80;      ;       ;Lima-Bica 14                                           ;In NGC 6334, rel. NGC 6334 XE
LB 17                  ;Sco  ;17 25 26.0 -36 12 12 ;IR   ;OC   ;    1.00;      ;       ;Lima-Bica 17                                           ;
LB 18                  ;Sco  ;17 21 09.0 -35 30 58 ;IR   ;OC?  ;    1.50;      ;       ;Lima-Bica 18                                           ;In dust bridge, NGC 6334
LB 19                  ;Sco  ;17 26 48.0 -36 12 03 ;IR   ;OC   ;    0.80;      ;       ;Lima-Bica 19                                           ;
LB 24                  ;Sco  ;17 29 22.0 -36 05 00 ;IR   ;OC   ;    0.80;      ;       ;Lima-Bica 24                                           ;
LB 27                  ;Sco  ;17 26 26.0 -35 33 41 ;IR   ;OC   ;    1.50;      ;       ;Lima-Bica 27                                           ;Between NGC 6334 & NGC 6357
LB 30                  ;Sco  ;17 27 55.0 -35 38 24 ;IR   ;OC   ;    0.90;      ;       ;Lima-Bica 30                                           ;
LB 32                  ;Sco  ;17 23 17.0 -34 48 45 ;IR   ;OC   ;    0.70;      ;       ;Lima-Bica 32                                           ;In pair, betw. NGC 6334-NGC 6357
LB 33                  ;Sco  ;17 23 30.0 -34 48 27 ;IR   ;OC   ;    0.90;      ;       ;Lima-Bica 33                                           ;
LB 34                  ;Sco  ;17 27 12.0 -35 19 22 ;IR   ;OC   ;    1.20;      ;       ;Lima-Bica 34                                           ;In pair
LB 47                  ;Sco  ;17 27 14.0 -34 14 21 ;Op   ;OC   ;    3.50;      ;       ;Lima-Bica 47, Bica 622                                 ;In bubble, in NGC 6357, inc. G353.43+0.46
LB 52                  ;Sco  ;17 26 47.0 -33 59 23 ;IR   ;OC   ;    1.10;      ;       ;Lima-Bica 52                                           ;
LB 53                  ;Sco  ;17 28 36.0 -34 13 03 ;Op   ;OC   ;    5.00;      ;       ;Lima-Bica 53                                           ;Rich field, NGC 6357
LBB 1                  ;Sco  ;17 25 29.0 -34 25 15 ;IR   ;OC?  ;    1.00;      ;       ;                                                       ;Incl O*, in NGC 6357, ESO 392-11
LBB 2                  ;Sco  ;17 24 41.0 -34 14 55 ;IR   ;OC?  ;    0.90;      ;       ;                                                       ;Inc O *s, in NGC 6357
LBB 3                  ;Sco  ;17 25 21.0 -34 16 59 ;IR   ;OC   ;    0.60;      ;       ;                                                       ;In bubble, in NGC 6357
LDL 1                  ;Cep  ;22 39 47.0 +75 11 35 ;IR   ;OC   ;    0.90;   355;       ;                                                       ;In LDN 1251B, err in coords?
LDN 1641 W Cl          ;Ori  ;05 34 51.0 -06 17 40 ;IR   ;OC?  ;   12.00;      ;       ;AB12 1, BDB03 G210.06-19.59                            ;
LDN 1689S              ;Sco  ;16 31 52.1 -24 56 15 ;IR   ;OC   ;   14.00;      ;       ;Bonatto 1                                              ;In Rho Oph Group
LDN 673 Cl             ;Aql  ;19 21 01.4 +11 09 48 ;IR   ;YAs  ;   54.00;   406;       ;                                                       ;
LK 1                   ;Cyg  ;20 24 25.0 +36 24 18 ;Op   ;OC   ;    6.00;      ;       ;Le Duigou-Knodlseder 1, FSR 205                        ;
LK 10                  ;Cyg  ;20 39 19.6 +39 59 24 ;Op   ;OC   ;   13.00;      ;       ;Le Duigou-Knodlseder 10, FSR 233, GLM-CYGX 16          ;
LK 14                  ;Cyg  ;20 35 43.0 +42 29 24 ;Op   ;OC   ;    2.50;  1020;       ;                                                       ;
LK 3                   ;Cyg  ;20 25 38.0 +39 24 36 ;Op   ;OC   ;   10.00;      ;       ;Le Duigou-Knodlseder 3                                 ;Core
LLA 7                  ;Ori  ;05 36 07.0 -06 17 12 ;IR   ;OC   ;    5.00;      ;       ;                                                       ;Loose, in shell, in Orion A
LMR 10                 ;Sgr  ;17 51 37.0 -26 47 55 ;IR   ;OC   ;    1.70;  8500;       ;                                                       ;
LMR 101                ;Vul  ;19 44 41.0 +24 12 15 ;IR   ;OB   ;   80.00;  4200;       ;                                                       ;
LMR 103                ;Vul  ;19 50 17.0 +26 28 18 ;IR   ;OB   ;    7.10;  3850;       ;                                                       ;
LMR 105                ;Vul  ;19 49 21.0 +26 48 56 ;IR   ;OC?  ;    5.30;  3850;       ;                                                       ;
LMR 106                ;Cyg  ;19 55 55.0 +30 14 18 ;IR   ;OB   ;    7.10;      ;       ;                                                       ;
LMR 107                ;Cyg  ;19 58 40.0 +31 25 56 ;IR   ;OB   ;   11.00; 13600;       ;                                                       ;In bubble
LMR 109                ;Cyg  ;20 04 13.0 +36 03 48 ;IR   ;OB   ;   88.00;  2550;       ;                                                       ;
LMR 11                 ;Sgr  ;17 51 04.0 -26 37 26 ;IR   ;OC   ;    2.40;  8500;       ;                                                       ;
LMR 110                ;Sgr  ;20 22 24.0 -38 22 24 ;IR   ;OB   ;  129.00;  1950;       ;                                                       ;
LMR 111                ;Cyg  ;20 30 41.0 +40 43 51 ;IR   ;OB   ;  210.00;  3200;       ;                                                       ;
LMR 112                ;Cyg  ;20 40 36.0 +42 28 07 ;IR   ;OB   ;   67.00;  1150;       ;                                                       ;
LMR 113                ;Cyg  ;20 44 37.0 +43 41 28 ;IR   ;OB   ;   45.00;  3100;       ;                                                       ;
LMR 114                ;Cyg  ;20 34 14.0 +45 37 58 ;IR   ;OB   ;    9.00;   900;       ;                                                       ;
LMR 115                ;Cyg  ;20 54 38.0 +44 00 00 ;IR   ;OB   ;   73.00;   750;       ;                                                       ;
LMR 116                ;Cyg  ;20 34 59.0 +46 55 22 ;IR   ;OB   ;   31.00;  3000;       ;                                                       ;
LMR 117                ;Cyg  ;20 53 20.0 +44 58 52 ;IR   ;OB   ;   17.00;  4900;       ;                                                       ;
LMR 118                ;Cyg  ;21 06 37.0 +50 03 59 ;IR   ;OB   ;   36.00;      ;       ;                                                       ;
LMR 12                 ;Sgr  ;17 52 25.0 -26 29 47 ;IR   ;OC   ;    5.10; 12000;       ;                                                       ;
LMR 120                ;Cyg  ;21 11 14.0 +52 23 57 ;IR   ;OB   ;   23.00;  8500;       ;                                                       ;
LMR 121                ;Cyg  ;21 20 17.0 +52 06 45 ;IR   ;OB   ;   25.00; 10000;       ;                                                       ;
LMR 122                ;Cyg  ;21 38 16.0 +50 23 41 ;IR   ;OB   ;    6.50;  3900;       ;                                                       ;
LMR 123                ;Cyg  ;21 33 20.0 +51 18 09 ;IR   ;OB   ;   20.00;      ;       ;                                                       ;
LMR 124                ;Cyg  ;21 42 34.0 +54 49 48 ;IR   ;OB   ;    8.80;      ;       ;                                                       ;
LMR 126                ;Cep  ;22 19 48.0 +56 14 28 ;IR   ;OB   ;   26.00;  4500;       ;                                                       ;
LMR 128                ;Cep  ;22 22 10.0 +58 43 11 ;IR   ;OB   ;   16.00;      ;       ;                                                       ;
LMR 129                ;Cep  ;22 34 11.0 +58 18 30 ;IR   ;OB   ;   16.00;      ;       ;                                                       ;
LMR 13                 ;Sgr  ;17 53 26.0 -26 07 45 ;IR   ;OB   ;    7.20;  7300;       ;                                                       ;
LMR 131                ;Cep  ;22 53 55.0 +58 56 22 ;IR   ;OB   ;   56.00;  4200;       ;                                                       ;
LMR 132                ;Cep  ;22 54 30.0 +62 05 57 ;IR   ;OB   ;  104.00;   700;       ;                                                       ;Adopted dist of Cep A
LMR 133                ;Cep  ;23 11 48.0 +59 56 15 ;IR   ;OB   ;   58.00;  4400;       ;                                                       ;
LMR 134                ;Cep  ;23 13 45.0 +61 31 28 ;IR   ;OB   ;   53.00;  6900;       ;                                                       ;
LMR 135                ;Cas  ;23 33 52.0 +60 46 43 ;IR   ;OB   ;    8.30;  3200;       ;                                                       ;
LMR 137                ;Cas  ;02 53 34.0 +60 28 54 ;IR   ;OB   ;   77.00;  3200;       ;                                                       ;
LMR 138                ;Cam  ;03 52 46.0 +53 26 53 ;IR   ;OB   ;   18.00;      ;       ;                                                       ;
LMR 139                ;Per  ;04 11 10.0 +51 12 17 ;IR   ;OB   ;   17.00;  9300;       ;                                                       ;
LMR 141                ;Aur  ;05 16 04.0 +34 33 42 ;IR   ;OB   ;   23.00;      ;       ;                                                       ;
LMR 142                ;Aur  ;05 28 47.0 +34 30 06 ;IR   ;OB   ;   19.00;  8600;       ;                                                       ;
LMR 143                ;Aur  ;05 39 59.0 +35 50 49 ;IR   ;OB   ;   20.00;  8700;       ;                                                       ;
LMR 147                ;Gem  ;06 20 34.0 +23 02 34 ;IR   ;OB   ;   41.00;  1720;       ;                                                       ;
LMR 149                ;Ori  ;06 13 52.0 +18 29 00 ;IR   ;OB   ;   44.00;  1200;       ;                                                       ;
LMR 15                 ;Sgr  ;17 54 43.0 -25 27 20 ;IR   ;OB   ;   12.00;  6900;       ;                                                       ;
LMR 150                ;Mon  ;06 36 09.0 +10 50 21 ;IR   ;OB   ;   13.00;  5200;       ;                                                       ;
LMR 151                ;Mon  ;06 31 17.0 +10 01 10 ;IR   ;OB   ;   15.00;      ;       ;                                                       ;
LMR 154                ;Ori  ;05 35 07.0 -03 04 11 ;IR   ;OB   ;  167.00;   300;       ;                                                       ;
LMR 157                ;Pup  ;07 52 54.0 -26 30 03 ;IR   ;OB   ;   16.00;  5300;       ;                                                       ;
LMR 158                ;Pup  ;08 15 58.0 -35 46 12 ;IR   ;OB   ;   28.00;  3000;       ;                                                       ;
LMR 16                 ;Sgr  ;17 55 17.0 -25 06 28 ;IR   ;OB   ;    4.60;  6700;       ;                                                       ;Includes dust emission nebula
LMR 160                ;Vel  ;08 58 51.0 -43 20 33 ;IR   ;OB   ;   36.00;   400;       ;                                                       ;
LMR 161                ;Vel  ;08 54 46.0 -48 19 20 ;IR   ;OB   ;   96.00;  1100;       ;                                                       ;
LMR 163                ;Ser  ;18 17 07.0 -01 52 21 ;IR   ;OB   ;   51.00;  5600;       ;                                                       ;
LMR 164 A              ;Car  ;10 18 51.0 -57 26 48 ;IR   ;OB   ;   90.00;  4100;       ;                                                       ;Are there 2 assocs nammed LMR 164? Needs recheck
LMR 164 B              ;Car  ;10 38 42.0 -58 25 59 ;IR   ;OB   ;   66.00;  4100;       ;                                                       ;
LMR 166                ;Car  ;10 43 35.0 -59 46 15 ;IR   ;OB   ;   62.00;  2550;       ;                                                       ;
LMR 167                ;Car  ;11 01 34.0 -61 12 29 ;IR   ;OB   ;   37.00;  7500;       ;                                                       ;
LMR 168                ;Car  ;11 08 40.1 -60 17 13 ;Op   ;OC   ;   16.68;  3876;   8.68;                                                       ;
LMR 17                 ;Sgr  ;17 58 35.0 -24 36 56 ;IR   ;OC   ;    1.60;  6300;       ;                                                       ;
LMR 170                ;Sgr  ;19 37 44.0 -13 34 35 ;IR   ;OB   ;   55.00;  3550;       ;                                                       ;
LMR 172                ;Cen  ;11 48 49.0 -62 11 45 ;IR   ;OB   ;   10.00;  8500;       ;                                                       ;
LMR 173                ;Cru  ;11 59 24.0 -63 12 35 ;IR   ;OB   ;   36.00;  9400;       ;                                                       ;
LMR 179                ;Cru  ;12 43 06.0 -61 54 44 ;IR   ;OB   ;   16.00;  4500;       ;                                                       ;
LMR 18                 ;Sgr  ;17 57 33.0 -24 17 36 ;IR   ;OB   ;    9.00;  8500;       ;                                                       ;
LMR 180                ;Cru  ;12 46 53.0 -62 52 44 ;IR   ;OB   ;   26.00;  4600;       ;                                                       ;
LMR 181                ;Cru  ;12 53 52.0 -63 25 23 ;IR   ;OB   ;   45.00; 11300;       ;                                                       ;
LMR 182                ;Cen  ;13 15 20.0 -62 48 58 ;IR   ;OB   ;   41.00;  5000;       ;                                                       ;
LMR 183                ;Cen  ;13 21 32.0 -63 01 39 ;IR   ;OC   ;    2.70;  5000;       ;                                                       ;Dusty nucleus at the nw edge
LMR 186                ;Cen  ;13 40 07.0 -61 44 48 ;IR   ;OB   ;   13.00;  5300;       ;                                                       ;Includes BH 151
LMR 188                ;Cen  ;13 49 49.0 -62 49 59 ;IR   ;OC?  ;    3.50;  5400;       ;                                                       ;In shell
LMR 189                ;Cen  ;13 50 50.0 -61 41 11 ;IR   ;OB   ;    7.50;  5450;       ;                                                       ;
LMR 19                 ;Sgr  ;17 59 05.0 -24 20 31 ;IR   ;OC   ;    2.30;  8450;       ;                                                       ;Deeply embedded
LMR 194                ;Cen  ;14 22 37.0 -60 30 32 ;IR   ;OB   ;   23.00;  5900;       ;                                                       ;
LMR 195                ;Cen  ;14 35 10.0 -60 35 26 ;IR   ;OC?  ;    3.80; 13000;       ;                                                       ;
LMR 196                ;Cir  ;14 41 57.0 -60 31 34 ;IR   ;OC   ;    2.90;  6100;       ;                                                       ;
LMR 197                ;Cir  ;14 43 12.0 -60 17 14 ;IR   ;OC   ;    3.00; 12400;       ;La Serena 170, IRAS 14394-6004                         ;
LMR 198                ;Cir  ;14 48 00.0 -59 53 34 ;IR   ;OB   ;   39.00;  6250;       ;                                                       ;
LMR 199                ;Cir  ;14 54 51.0 -59 50 00 ;IR   ;OB   ;   26.00;  6300;       ;                                                       ;
LMR 2                  ;Sgr  ;17 48 51.0 -28 56 51 ;IR   ;OB   ;   21.00;  8500;       ;                                                       ;
LMR 20                 ;Sgr  ;17 58 28.0 -23 25 18 ;IR   ;OB   ;   47.00;  8450;       ;                                                       ;
LMR 200                ;Cir  ;15 03 35.0 -58 52 39 ;IR   ;OB   ;   22.00;  6450;       ;                                                       ;
LMR 201                ;Cir  ;15 05 22.0 -57 45 54 ;IR   ;OB   ;   17.00;  6500;       ;                                                       ;
LMR 202                ;Cir  ;15 13 10.0 -59 28 42 ;IR   ;OB   ;   57.00;  6550;       ;                                                       ;
LMR 204                ;Cir  ;15 10 50.0 -57 58 19 ;IR   ;OB   ;   27.00;  6600;       ;                                                       ;
LMR 205                ;Cir  ;15 16 35.0 -58 17 55 ;IR   ;OB   ;   18.00;  6600;       ;                                                       ;
LMR 206                ;Cir  ;15 13 03.0 -56 54 21 ;IR   ;OB   ;   52.00;  6650;       ;                                                       ;
LMR 209                ;Nor  ;15 36 35.0 -56 50 48 ;IR   ;OB   ;   11.00;  6850;       ;                                                       ;
LMR 21                 ;Sgr  ;18 06 36.0 -24 00 53 ;IR   ;OB   ;   60.00;  6350;       ;                                                       ;
LMR 210                ;Nor  ;15 32 13.0 -55 53 53 ;IR   ;OB   ;    6.70;  6900;       ;                                                       ;
LMR 211                ;Nor  ;15 43 05.0 -54 10 11 ;IR   ;OB   ;   25.00;  7050;       ;                                                       ;
LMR 212                ;Nor  ;15 48 20.0 -54 50 00 ;IR   ;OB   ;   30.00;  7100;       ;                                                       ;
LMR 214                ;Nor  ;15 54 51.0 -54 29 47 ;IR   ;OB   ;   17.00;  7150;       ;                                                       ;
LMR 216                ;Nor  ;15 53 52.0 -53 10 06 ;IR   ;OC?  ;    3.70;  7250;       ;                                                       ;
LMR 218                ;Nor  ;16 01 11.0 -52 09 24 ;IR   ;OB   ;   36.00;  7350;       ;                                                       ;
LMR 22                 ;Sgr  ;17 59 53.0 -22 02 15 ;IR   ;OB   ;   15.00;  8400;       ;                                                       ;
LMR 220                ;Nor  ;16 08 46.0 -51 06 49 ;IR   ;OB   ;    6.80;  8000;       ;                                                       ;Winds
LMR 227                ;Nor  ;16 33 10.0 -47 56 48 ;IR   ;OB   ;   33.00;  7800;       ;                                                       ;
LMR 229                ;Ara  ;16 41 21.7 -47 05 33 ;IR   ;SFR  ;    4.50;  8400;       ;                                                       ;
LMR 233                ;Ara  ;16 45 17.6 -46 08 38 ;IR   ;SFR  ;    4.40;  8500;       ;                                                       ;2nd gen
LMR 234                ;Sco  ;16 45 48.0 -45 37 38 ;IR   ;OC?  ;    4.70;  8750;       ;                                                       ;
LMR 235                ;Sco  ;16 49 11.0 -45 38 44 ;IR   ;OC   ;    3.50;  8000;       ;                                                       ;
LMR 236                ;Sco  ;16 45 50.0 -44 47 42 ;IR   ;OB   ;    8.80;  8000;       ;                                                       ;
LMR 237                ;Sco  ;16 52 03.0 -45 20 31 ;IR   ;OB   ;   58.00;  8050;       ;                                                       ;
LMR 239                ;Sco  ;16 53 48.0 -43 18 42 ;IR   ;OB   ;    5.90;  8100;       ;                                                       ;
LMR 24                 ;Sgr  ;18 04 55.0 -21 58 42 ;IR   ;OB   ;   22.00;  8400;       ;                                                       ;
LMR 240                ;Sco  ;16 57 23.0 -42 58 40 ;IR   ;OB   ;   35.00;  8750;       ;                                                       ;
LMR 241                ;Sco  ;17 03 37.0 -42 26 28 ;IR   ;OB   ;   12.00;  8850;       ;                                                       ;Includes 2nd generation
LMR 242                ;Sco  ;17 02 17.0 -41 46 55 ;IR   ;OC?  ;    1.80;  8200;       ;                                                       ;
LMR 243                ;Sco  ;17 07 32.0 -41 45 21 ;IR   ;OB   ;   12.00;  6950;       ;                                                       ;
LMR 244                ;Sco  ;16 58 41.0 -40 14 07 ;IR   ;OB   ;   38.00;  6750;       ;Russeil 459                                            ;
LMR 245                ;Sco  ;17 05 31.0 -41 05 02 ;IR   ;OB   ;   14.00;  6350;       ;                                                       ;
LMR 247                ;Sco  ;17 04 52.0 -40 43 27 ;IR   ;OB   ;   13.00;  7100;       ;                                                       ;
LMR 248                ;Sco  ;17 07 21.0 -40 41 39 ;IR   ;OB   ;   17.00;  6550;       ;                                                       ;
LMR 249                ;Sco  ;17 13 03.0 -39 15 48 ;IR   ;OB   ;   30.00;  8300;       ;                                                       ;
LMR 25                 ;Sgr  ;18 18 38.0 -21 03 50 ;IR   ;OB   ;   39.00;  8400;       ;                                                       ;
LMR 250                ;Sco  ;17 13 16.0 -38 58 29 ;IR   ;OC?  ;    5.80;  8300;       ;                                                       ;
LMR 252                ;Sco  ;17 18 42.0 -38 55 53 ;IR   ;OB   ;   26.00;  2000;       ;                                                       ;
LMR 253                ;Sco  ;17 16 54.0 -38 05 53 ;IR   ;OB   ;   12.00;  8350;       ;                                                       ;
LMR 254                ;Sco  ;17 21 22.0 -37 42 05 ;IR   ;OB   ;   14.00;  8350;       ;                                                       ;
LMR 255                ;Sco  ;17 19 34.0 -37 04 23 ;IR   ;OB   ;   67.00;  8400;       ;                                                       ;
LMR 256                ;Sco  ;17 15 50.0 -36 12 21 ;IR   ;OB   ;   32.00;  6850;       ;                                                       ;
LMR 258                ;Sco  ;17 25 57.0 -36 23 47 ;IR   ;OB   ;    8.40;  8400;       ;                                                       ;
LMR 259                ;Sco  ;17 23 15.0 -35 54 23 ;IR   ;OC?  ;    4.40;  8400;       ;                                                       ;
LMR 26                 ;Sgr  ;18 06 19.0 -20 30 36 ;IR   ;OB   ;    3.10;  6350;       ;                                                       ;In Majaess 187
LMR 260                ;Sco  ;17 29 08.0 -36 36 17 ;IR   ;OB   ;   21.00;  7200;       ;                                                       ;
LMR 261                ;Sco  ;17 26 14.0 -35 23 34 ;IR   ;OB   ;    7.90;  8400;       ;                                                       ;
LMR 262                ;Sco  ;17 27 40.0 -35 18 34 ;IR   ;OC?  ;    4.50;  8400;       ;                                                       ;
LMR 265                ;Sco  ;17 34 24.0 -34 43 55 ;IR   ;OC   ;    4.50;  8450;       ;                                                       ;
LMR 266                ;Sco  ;17 29 31.0 -34 29 26 ;IR   ;OB   ;   10.00;  8450;       ;                                                       ;
LMR 268                ;Sco  ;17 31 29.0 -33 34 32 ;IR   ;OC   ;    3.00; 12000;       ;                                                       ;In shell
LMR 269                ;Sco  ;17 30 16.0 -33 11 00 ;IR   ;OC?  ;    4.90;  8500;       ;                                                       ;
LMR 270                ;Sco  ;17 31 15.0 -33 17 17 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;
LMR 271                ;Sco  ;17 31 32.0 -33 04 08 ;IR   ;OB   ;    6.00; 12000;       ;                                                       ;
LMR 273                ;Sco  ;17 33 01.0 -31 54 50 ;IR   ;OB   ;   17.00;      ;       ;                                                       ;In bubble
LMR 274                ;Sco  ;17 43 58.0 -30 26 06 ;IR   ;OB   ;   11.00;  7300;       ;                                                       ;
LMR 275                ;Oph  ;17 42 34.0 -30 02 16 ;IR   ;OB   ;    7.00;  8500;       ;                                                       ;
LMR 277                ;Sgr  ;17 44 41.0 -29 27 23 ;IR   ;OC?  ;    1.50;  8500;       ;                                                       ;
LMR 29                 ;Sgr  ;18 09 30.0 -20 07 58 ;IR   ;OC   ;    2.00;  6100;       ;                                                       ;Dust clump at edge
LMR 3                  ;Sgr  ;17 47 02.0 -28 32 10 ;IR   ;OC   ;    2.50;  8500;       ;                                                       ;
LMR 32                 ;Sgr  ;18 08 32.0 -18 08 32 ;IR   ;OB   ;    9.00;  8350;       ;                                                       ;
LMR 33                 ;Sgr  ;18 12 29.0 -18 29 26 ;IR   ;OB   ;   15.00;  8300;       ;                                                       ;
LMR 34                 ;Sgr  ;18 14 47.0 -18 26 20 ;IR   ;OB   ;   11.00;  8300;       ;                                                       ;
LMR 35                 ;Sgr  ;18 11 55.0 -17 37 26 ;IR   ;OB   ;    9.00;  7250;       ;                                                       ;
LMR 36                 ;Sgr  ;18 14 18.0 -17 41 46 ;IR   ;OB   ;   19.00;  8300;       ;                                                       ;
LMR 37                 ;Sgr  ;18 15 59.0 -16 34 02 ;IR   ;OB   ;   33.00;  8250;       ;                                                       ;
LMR 38                 ;Ser  ;18 17 41.0 -15 51 22 ;IR   ;OB   ;    4.80;  8200;       ;                                                       ;Includes bubble
LMR 39                 ;Ser  ;18 21 15.0 -15 54 26 ;IR   ;OB   ;   27.00;  6850;       ;                                                       ;
LMR 4                  ;Sgr  ;17 46 07.0 -28 24 16 ;IR   ;OC   ;    1.40;      ;       ;                                                       ;
LMR 40                 ;Ser  ;18 20 16.0 -15 26 32 ;IR   ;OC   ;    5.70;  8200;       ;                                                       ;
LMR 41                 ;Ser  ;18 15 48.0 -13 47 57 ;IR   ;OB   ;   66.00;  8900;       ;                                                       ;
LMR 43                 ;Sct  ;18 25 04.4 -13 12 13 ;IR   ;SFR  ;   10.40;  3700;       ;                                                       ;Winds
LMR 44                 ;Ser  ;18 16 30.0 -11 49 48 ;IR   ;OB   ;   57.00;  8800;       ;                                                       ;
LMR 45                 ;Sct  ;18 25 56.4 -12 39 14 ;IR   ;SFR  ;   31.40;  4600;       ;Russeil 38                                             ;
LMR 46                 ;Sct  ;18 27 18.1 -11 52 02 ;IR   ;SFR  ;   10.80;  3300;       ;                                                       ;
LMR 47                 ;Sct  ;18 28 46.1 -11 39 25 ;IR   ;SFR  ;   18.50;  4700;       ;                                                       ;
LMR 48                 ;Sgr  ;18 29 15.0 -16 54 22 ;IR   ;OB   ;    7.20;  7950;       ;                                                       ;Bubble with 2nd generation?
LMR 49                 ;Sct  ;18 32 03.9 -09 44 49 ;IR   ;SFR  ;   19.10;  5100;       ;                                                       ;
LMR 5                  ;Sgr  ;17 44 42.0 -28 01 58 ;IR   ;OC   ;    5.20;  8500;       ;                                                       ;
LMR 50                 ;Sct  ;18 33 06.0 -08 52 23 ;IR   ;SFR  ;   38.00;  5300;       ;                                                       ;
LMR 51                 ;Sct  ;18 31 19.5 -08 29 56 ;IR   ;SFR  ;    3.90;  4000;       ;                                                       ;
LMR 54                 ;Sct  ;18 33 56.5 -07 28 16 ;IR   ;SFR  ;   11.50;  6100;       ;                                                       ;
LMR 55                 ;Sct  ;18 36 11.8 -07 45 19 ;IR   ;SFR  ;    1.60;  3800;       ;                                                       ;Winds
LMR 56                 ;Sct  ;18 35 51.2 -07 21 02 ;IR   ;SFR  ;   16.80;  7000;       ;                                                       ;
LMR 58                 ;Sct  ;18 36 30.0 -06 37 43 ;IR   ;EC   ;    4.70;  8300;       ;                                                       ;
LMR 6                  ;Sgr  ;17 46 51.0 -28 07 30 ;IR   ;OC   ;    4.00;  8500;       ;                                                       ;
LMR 60                 ;Sct  ;18 37 47.0 -05 29 48 ;IR   ;SFR  ;    7.60;  5400;       ;Russeil 55                                             ;
LMR 61                 ;Sct  ;18 40 45.9 -05 19 05 ;IR   ;SFR  ;    2.60;  4900;       ;                                                       ;
LMR 62                 ;Sct  ;18 41 31.0 -05 06 27 ;IR   ;SFR  ;    4.60;  5600;       ;                                                       ;
LMR 63                 ;Sct  ;18 40 42.1 -04 51 04 ;IR   ;SFR  ;    7.70;  4000;       ;                                                       ;
LMR 64                 ;Aql  ;18 43 01.8 -03 47 28 ;IR   ;SFR  ;   13.50;  8700;       ;                                                       ;
LMR 65                 ;Ser  ;18 31 31.0 -02 06 54 ;IR   ;OB   ;   20.00;  7450;       ;                                                       ;
LMR 67                 ;Aql  ;18 46 36.7 -03 43 46 ;IR   ;SFR  ;    8.00; 11500;       ;                                                       ;
LMR 68                 ;Aql  ;18 47 01.9 -02 40 54 ;IR   ;SFR  ;   24.20;  8500;       ;                                                       ;
LMR 7                  ;Sgr  ;17 48 39.0 -28 00 30 ;IR   ;OC   ;    3.10;      ;       ;                                                       ;
LMR 71                 ;Aql  ;18 48 54.4 -02 17 54 ;IR   ;SFR  ;   14.60;  7600;       ;Russeil 63                                             ;
LMR 73                 ;Aql  ;18 49 53.9 -00 40 04 ;IR   ;SFR  ;    6.30;  8100;       ;RM 18                                                  ;
LMR 74                 ;Aql  ;18 51 51.5 +00 02 42 ;IR   ;SFR  ;   13.00;  7600;       ;                                                       ;
