Name                   ;Cns  ;RA          De       ;Wv   ;Type ;   Diam ;  Dist;    Age;Aliases                                                ;Notes
Nor OB5                ;Nor  ;16 10 34.0 -49 02 24 ;Op   ;OB   ;  120.00;  1580;       ;COCD 367                                               ;Sparse, central cluster is DBSB 101
Froebrich Cl 108       ;Nor  ;16 10 38.7 -49 05 59 ;IR   ;OC?  ;    0.40;      ;       ;IRAS 16069-4858                                        ;From arXiv:1704.04957v1
VVVX CL 38             ;Nor  ;16 10 40.8 -54 57 40 ;Op   ;OC   ;    0.70;  2385;       ;                                                       ;Grp in HII region: WRAY 16-205
La Serena 298          ;Nor  ;16 10 45.1 -52 05 50 ;IR   ;OC?  ;    0.30;      ;       ;                                                       ;
La Serena 299          ;Nor  ;16 10 52.1 -51 29 47 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;
La Serena 300          ;Nor  ;16 10 58.0 -48 32 40 ;IR   ;OC?  ;    0.80;      ;       ;IRAS 16072-4824                                        ;
La Serena 301          ;Nor  ;16 10 58.4 -51 50 35 ;IR   ;OC?  ;    0.30;      ;       ;                                                       ;
RCW 105 Assoc          ;Nor  ;16 11 00.0 -48 54 00 ;Op   ;OB   ;   20.00;  8900;       ;LMR 224                                                ;
Lynga 7                ;Nor  ;16 11 03.1 -55 18 50 ;Op   ;GC   ;   11.40;  8785;   7.93;BH 184                                                 ;
VVV-CL 60              ;Nor  ;16 11 23.0 -51 42 49 ;IR   ;OC   ;    1.60;  5550;       ;                                                       ;
La Serena 302          ;Nor  ;16 11 36.5 -51 39 02 ;IR   ;OC?  ;    0.75;      ;       ;IRAS 16078-5131                                        ;
La Serena 303          ;Nor  ;16 12 01.9 -52 00 54 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;
Mercer 73              ;Nor  ;16 12 02.0 -51 22 05 ;IR   ;OC?  ;    0.60;      ;       ;GLIMPSE 73                                             ;
G332.062+0.508         ;Nor  ;16 12 04.0 -50 39 18 ;IR   ;OC?  ;    0.40;      ;       ;La Serena 304, IRAS 16082-5031                         ;
VVV-CL 62              ;Nor  ;16 12 08.0 -51 58 08 ;IR   ;OC   ;    1.30;  4300;       ;                                                       ;
DBSB 145               ;Nor  ;16 12 09.0 -51 26 24 ;IR   ;OC   ;    1.40;  5550;       ;                                                       ;
Mercer 71              ;Nor  ;16 12 26.0 -51 51 43 ;IR   ;OC   ;    1.20;  4300;       ;GLIMPSE 71                                             ;
La Serena 305          ;Nor  ;16 12 30.2 -51 27 40 ;IR   ;OC?  ;    0.35;      ;       ;                                                       ;
Mercer 72              ;Nor  ;16 12 31.0 -51 46 59 ;IR   ;OC   ;    1.20;  4300;       ;GLIMPSE 72                                             ;
La Serena 306          ;Nor  ;16 12 33.7 -50 20 25 ;IR   ;OC?  ;    0.35;      ;       ;IRAS 16088-5012                                        ;
G331.603-0.108         ;Nor  ;16 12 37.0 -51 25 08 ;IR   ;OC?  ;    0.30;      ;       ;La Serena 307, IRAS 16088-5117                         ;
La Serena 308          ;Nor  ;16 12 41.7 -51 23 16 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;
VVV-CL 63              ;Nor  ;16 12 42.0 -51 45 03 ;IR   ;OC   ;    0.70;  4300;       ;                                                       ;
Ryu 292                ;Nor  ;16 12 46.4 -50 59 34 ;IR   ;OC?  ;    1.20;      ;       ;                                                       ;
G331.419-0.354         ;Nor  ;16 12 50.0 -51 43 26 ;IR   ;OC?  ;    0.50;      ;       ;La Serena 309, IRAS 16090-5135, Bica 660               ;
La Serena 310          ;Nor  ;16 13 07.2 -51 17 53 ;IR   ;OC?  ;    0.55;      ;       ;IRAS 16093-5110                                        ;
Ryu 291                ;Nor  ;16 13 10.3 -51 03 55 ;IR   ;OC?  ;    4.80;      ;       ;                                                       ;
VVVX CL 39             ;Nor  ;16 13 13.6 -54 17 13 ;Op   ;OC   ;    0.73;  1653;       ;                                                       ;Concentrated
La Serena 311          ;Nor  ;16 13 35.6 -51 18 23 ;IR   ;OC?  ;    0.65;      ;       ;                                                       ;
La Serena 312          ;Nor  ;16 13 36.5 -51 31 58 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;
La Serena 313          ;Nor  ;16 13 41.8 -51 49 36 ;Op   ;OC?  ;    2.40;      ;       ;IRAS 16099-5141                                        ;
Ryu 290                ;Nor  ;16 13 53.1 -51 14 53 ;IR   ;OC?  ;    1.60;      ;       ;                                                       ;
Ryu 295                ;Nor  ;16 14 03.9 -50 50 57 ;IR   ;OC?  ;    6.20;      ;       ;                                                       ;
Pismis 22              ;Nor  ;16 14 12.5 -51 52 08 ;Op   ;OC   ;    3.10;  7651;   7.60;Westerlund 3                                           ;
Mercer 75              ;Nor  ;16 14 23.0 -50 36 14 ;IR   ;OC?  ;    0.80;      ;       ;GLIMPSE 75                                             ;
Ryu 294                ;Nor  ;16 14 26.7 -50 56 26 ;IR   ;OC?  ;    1.60;      ;       ;                                                       ;
RCW 103 B Assoc        ;Nor  ;16 14 42.0 -51 04 00 ;Op   ;OB   ;   24.00;  3000;       ;                                                       ;
Ryu 25                 ;Nor  ;16 14 54.1 -50 58 52 ;IR   ;OC?  ;    1.80;      ;       ;                                                       ;
Alessi J1614-5113      ;Nor  ;16 14 54.4 -51 13 12 ;Op   ;OC?  ;    2.10;      ;       ;                                                       ;Located N of Ru 176, obvious arc of ~12 *
Ryu 288                ;Nor  ;16 14 55.5 -51 37 38 ;Op   ;OC?  ;    1.20;      ;       ;                                                       ;
La Serena 315          ;Nor  ;16 15 00.9 -50 56 09 ;IR   ;OC?  ;    0.60;      ;       ;                                                       ;
DBSB 102               ;Nor  ;16 15 01.0 -49 51 00 ;IR   ;OC   ;    7.20;  4362;   6.10;LMR 223                                                ;
OPD 46                 ;Nor  ;16 15 04.4 -49 02 39 ;Op   ;OB   ;  390.00;   122;       ;Nor OB5                                                ;
VVV-CL 64              ;Nor  ;16 15 18.0 -50 56 48 ;IR   ;OC   ;    0.93;  3490;       ;                                                       ;
La Serena 316          ;Nor  ;16 15 18.7 -49 48 57 ;IR   ;OC?  ;    0.60;      ;       ;                                                       ;
La Serena 317          ;Nor  ;16 15 23.4 -49 49 18 ;IR   ;OC?  ;    0.35;      ;       ;                                                       ;
Ryu 28                 ;Nor  ;16 15 23.6 -50 45 08 ;IR   ;OC?  ;    1.00;      ;       ;                                                       ;
Ryu 304                ;Nor  ;16 15 32.0 -49 26 36 ;IR   ;OC?  ;    1.60;      ;       ;                                                       ;
TC 1615-5433           ;Nor  ;16 15 40.0 -54 33 20 ;Op   ;OC?  ;   14.00;      ;       ;                                                       ;
G332.294-0.096         ;Nor  ;16 15 46.0 -50 56 02 ;IR   ;OC?  ;    0.40;      ;       ;La Serena 318, IRAS 16119-5048                         ;
G332.352-0.116         ;Nor  ;16 16 07.0 -50 54 29 ;IR   ;OC?  ;    0.60;      ;       ;La Serena 319, IRAS 16122-5047                         ;
Alessi J1616-5136      ;Nor  ;16 16 14.0 -51 36 41 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;
G332.095-0.421         ;Nor  ;16 16 17.0 -51 18 22 ;IR   ;OC?  ;    0.85;      ;       ;La Serena 320, IRAS 16124-5110                         ;
Nor OB2                ;Nor  ;16 16 18.0 -52 05 00 ;Op   ;OB   ;   42.00;  7450;       ;LMR 221                                                ;
Mercer 74              ;Nor  ;16 16 44.0 -51 17 02 ;IR   ;OC   ;    1.00;  3490;       ;GLIMPSE 74                                             ;
DBSB 160               ;Nor  ;16 16 56.0 -50 47 26 ;IR   ;OC   ;    0.90;  3490;   6.44;                                                       ;
RLGC 1                 ;Nor  ;16 17 08.4 -44 35 39 ;IR   ;GC   ;    1.10; 28800;  10.10;Ryu 59                                                 ;
Pa-DeCAPS 4            ;Nor  ;16 17 08.9 -44 35 39 ;Op   ;OC   ;    1.70;      ;       ;                                                       ;
La Serena 321          ;Nor  ;16 17 11.5 -51 10 48 ;IR   ;OC?  ;    0.90;      ;       ;IRAS 16134-5103                                        ;
Nor OB4 Core           ;Nor  ;16 17 23.0 -50 57 31 ;Op   ;OC   ;   14.00;      ;       ;                                                       ;In Nor OB4
Nor OB4                ;Nor  ;16 17 24.0 -51 03 00 ;Op   ;OB   ;  150.00;  3900;       ;Ass-65.3                                               ;
La Serena 322          ;Nor  ;16 17 27.7 -51 08 10 ;IR   ;OC?  ;    1.00;      ;       ;IRAS 16137-5100, Ryu 298                               ;
Mercer 77              ;Nor  ;16 17 28.0 -50 30 40 ;IR   ;OC   ;    1.00;  6080;       ;GLIMPSE 77                                             ;
VVV-CL 65              ;Nor  ;16 17 31.0 -50 32 30 ;IR   ;OC   ;    1.10;  6080;       ;                                                       ;
RCW 103 A Assoc        ;Nor  ;16 17 36.0 -51 49 00 ;Op   ;OB   ;   42.00;  3220;       ;                                                       ;
VVV-CL 66              ;Nor  ;16 17 59.0 -51 15 10 ;IR   ;OC   ;    1.60;  3490;       ;                                                       ;
RM 34                  ;Nor  ;16 18 15.6 -50 36 06 ;IR   ;OC   ;   48.60;  3400;       ;Russeil 421                                            ;
RCW 103 A North Assoc  ;Nor  ;16 18 23.0 -51 31 12 ;Op   ;OB   ;   20.00;      ;       ;                                                       ;In Nor OB4
La Serena 323          ;Nor  ;16 18 27.0 -51 07 14 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 16147-5100                                        ;
IRAS 16148-5011        ;Nor  ;16 18 35.2 -50 18 53 ;IR   ;OC   ;    1.50;  3600;   6.00;                                                       ;Mallick+, 2014
La Serena 324          ;Nor  ;16 18 37.9 -50 41 42 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 16148-5034                                        ;
NGC 6087               ;Nor  ;16 18 53.0 -57 54 58 ;Op   ;OC   ;   29.50;   949;   8.05;                                                       ;B-association
G333.029-0.065         ;Nor  ;16 18 57.0 -50 24 00 ;IR   ;OC?  ;    0.87;      ;       ;La Serena 325, Froebrich Cl 39                         ;
La Serena 326          ;Nor  ;16 19 09.3 -51 04 04 ;IR   ;OC?  ;    0.80;      ;       ;IRAS 16153-5056                                        ;
Harvard 10             ;Nor  ;16 19 26.2 -54 57 25 ;Op   ;OC   ;   42.50;   691;   7.90;Collinder 299                                          ;B-association
G333.315+0.106         ;Nor  ;16 19 29.0 -50 04 41 ;IR   ;OC?  ;    0.45;      ;       ;La Serena 327, IRAS 16157-4957                         ;
RM 35                  ;Nor  ;16 19 34.7 -50 19 03 ;IR   ;OC   ;    2.50;  7600;       ;                                                       ;
G333.163-0.100         ;Nor  ;16 19 42.0 -50 19 52 ;IR   ;OC?  ;    0.25;      ;       ;La Serena 328, IRAS 16159-5012                         ;
La Serena 331          ;Nor  ;16 19 46.2 -50 18 41 ;IR   ;OC?  ;    0.35;      ;       ;                                                       ;
Mercer 76              ;Nor  ;16 19 46.7 -51 02 51 ;IR   ;OC   ;    2.00;  3490;       ;La Serena 329, GLIMPSE 76                              ;
La Serena 330          ;Nor  ;16 19 47.0 -51 00 11 ;IR   ;OC?  ;    0.45;      ;       ;                                                       ;
La Serena 332          ;Nor  ;16 19 54.8 -51 07 09 ;IR   ;OC?  ;    1.60;      ;       ;IRAS 16161-5059                                        ;
G333.725+0.371         ;Nor  ;16 20 08.0 -49 36 04 ;IR   ;OC?  ;    1.00;      ;       ;La Serena 333                                          ;
La Serena 334          ;Nor  ;16 20 10.8 -50 53 22 ;IR   ;OC?  ;    0.80;      ;       ;IRAS 16164-5046                                        ;
G334.332+0.965         ;Nor  ;16 20 13.0 -48 45 07 ;IR   ;OC?  ;    0.60;      ;       ;La Serena 335, IRAS 16164-4837                         ;
La Serena 336          ;Nor  ;16 20 16.6 -50 56 26 ;IR   ;OC?  ;    1.00;      ;       ;                                                       ;
G333.760+0.364         ;Nor  ;16 20 19.0 -49 34 55 ;IR   ;OC?  ;    0.45;      ;       ;La Serena 337                                          ;
La Serena 338          ;Nor  ;16 20 20.9 -49 58 21 ;IR   ;OC?  ;    0.20;      ;       ;                                                       ;
La Serena 339          ;Nor  ;16 20 34.1 -50 34 15 ;IR   ;OC?  ;    1.00;      ;       ;                                                       ;
La Serena 340          ;Nor  ;16 20 37.1 -50 13 36 ;IR   ;OC?  ;    0.40;      ;       ;IRAS 16168-5006                                        ;
SFC 34 B               ;Nor  ;16 20 44.7 -50 49 40 ;Op   ;OB   ;   34.00;  3400;       ;                                                       ;
La Serena 342          ;Nor  ;16 20 48.3 -51 00 16 ;IR   ;OC?  ;    0.40;      ;       ;IRAS 16170-5053                                        ;
La Serena 343          ;Nor  ;16 20 49.2 -49 42 10 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;
FBD05 G333.1-0.4       ;Nor  ;16 21 01.5 -50 35 26 ;IR   ;OC   ;    2.10;  3490;       ;La Serena 344, IRAS 16172-5028                         ;
La Serena 345          ;Nor  ;16 21 05.7 -50 15 13 ;IR   ;OC?  ;    0.20;      ;       ;                                                       ;
Mercer 78              ;Nor  ;16 21 08.0 -50 39 58 ;IR   ;OC   ;    1.40;  3490;       ;GLIMPSE 78                                             ;
SFC 34 A               ;Nor  ;16 21 10.7 -50 04 12 ;Op   ;OB   ;   12.00;  3400;       ;                                                       ;
Ryu 36                 ;Nor  ;16 21 13.2 -50 44 30 ;IR   ;OC?  ;    1.20;      ;       ;                                                       ;
La Serena 346          ;Nor  ;16 21 15.2 -49 57 22 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;
La Serena 347          ;Nor  ;16 21 20.1 -50 09 43 ;IR   ;OC?  ;    0.25;      ;       ;                                                       ;
DBSB 165               ;Nor  ;16 21 31.0 -50 25 04 ;IR   ;OC   ;    1.40;  3490;   6.44;IRAS 16177-5018, RAL 1, MDF 23, WBH98 16177-5018       ;     
VVV-CL 69              ;Nor  ;16 21 34.0 -50 27 29 ;IR   ;OC   ;    2.00;  3490;       ;                                                       ;
La Serena 349          ;Nor  ;16 21 37.4 -50 52 49 ;IR   ;OC?  ;    0.45;      ;       ;                                                       ;
Mercer 79              ;Nor  ;16 21 42.0 -48 43 41 ;IR   ;OC   ;    1.40;  9890;       ;GLIMPSE 79                                             ;
VVV-CL 70              ;Nor  ;16 21 48.0 -51 44 11 ;IR   ;OC   ;    0.87;  2000;   8.78;                                                       ;
La Serena 350          ;Nor  ;16 21 53.7 -49 59 04 ;IR   ;OC?  ;    0.95;      ;       ;                                                       ;
La Serena 351          ;Nor  ;16 21 59.6 -50 07 43 ;IR   ;OC?  ;    0.60;      ;       ;                                                       ;
BDB 259                ;Nor  ;16 22 10.0 -50 05 49 ;IR   ;OC   ;    1.50;  3490;       ;G333.6-0.2 Cl                                          ;
VVV-CL 71              ;Nor  ;16 22 16.0 -50 04 30 ;IR   ;OC   ;    0.83;  3490;       ;                                                       ;
La Serena 353          ;Nor  ;16 22 46.7 -49 53 09 ;IR   ;OC?  ;    0.45;      ;       ;IRAS 16190-4946                                        ;
La Serena 354          ;Nor  ;16 22 59.7 -49 23 42 ;IR   ;OC?  ;    0.85;      ;       ;IRAS 16192-4916                                        ;
La Serena 355          ;Nor  ;16 23 20.9 -49 07 52 ;IR   ;OC?  ;    0.90;      ;       ;IRAS 16196-4900                                        ;
Ruprecht 117           ;Nor  ;16 23 33.1 -51 52 44 ;Op   ;OC   ;    6.70;  3276;   8.95;Anon 1623-51                                           ;
VVV-CL 72              ;Nor  ;16 23 49.0 -50 14 20 ;Op   ;OC   ;    1.90;  3490;       ;                                                       ;
La Serena 356          ;Nor  ;16 23 53.0 -49 52 20 ;IR   ;OC?  ;    0.50;      ;       ;                                                       ;
Pismis 23              ;Nor  ;16 23 57.6 -48 53 28 ;Op   ;OC   ;    1.30;  5132;   8.48;Lynga 10                                               ;
NGC 6115               ;Nor  ;16 24 43.2 -51 56 24 ;Op   ;OC   ;   16.80;   974;   8.94;Ruprecht 118                                           ;
Ryu 317                ;Nor  ;16 26 50.5 -48 26 00 ;IR   ;OC?  ;    2.00;      ;       ;                                                       ;
La Serena 357          ;Nor  ;16 27 02.5 -49 24 01 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;
La Serena 358          ;Nor  ;16 27 12.9 -49 14 29 ;IR   ;OC?  ;    1.60;      ;       ;IRAS 16234-4907                                        ;
La Serena 359          ;Nor  ;16 27 26.5 -49 12 22 ;IR   ;OC?  ;    0.45;      ;       ;IRAS 16236-4905                                        ;
La Serena 361          ;Nor  ;16 28 59.0 -49 01 41 ;IR   ;OC?  ;    0.50;      ;       ;                                                       ;
Majaess 172            ;Nor  ;16 29 02.0 -48 59 34 ;IR   ;OC?  ;    7.00;      ;       ;La Serena 361                                          ;
La Serena 362          ;Nor  ;16 29 03.1 -48 59 56 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 16252-4853                                        ;
La Serena 363          ;Nor  ;16 29 09.1 -48 51 15 ;IR   ;OC?  ;    0.15;      ;       ;IRAS 16254-4844                                        ;
G3CC 33                ;Nor  ;16 29 23.5 -49 12 25 ;IR   ;OC   ;    1.10;  2860;       ;                                                       ;
La Serena 364          ;Nor  ;16 29 41.8 -49 01 59 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;
Ryu 318                ;Nor  ;16 30 15.7 -48 47 41 ;IR   ;OC?  ;    1.60;      ;       ;                                                       ;
VVV-CL 73              ;Nor  ;16 30 24.0 -48 13 06 ;IR   ;OC?  ;    0.67;      ;       ;                                                       ;
FSR 1725               ;Nor  ;16 30 25.2 -50 07 30 ;Op   ;OC   ;   13.80;  1623;   8.00;                                                       ;
Urq G335.99+0.20       ;Nor  ;16 30 28.8 -48 06 40 ;IR   ;EC?  ;    0.80; 10600;       ;                                                       ;
HD 148482 Grp          ;Nor  ;16 30 34.0 -48 42 48 ;Op   ;OC?  ;   12.00;      ;       ;                                                       ;
Ryu 51                 ;Nor  ;16 30 48.2 -47 49 50 ;IR   ;OC?  ;    1.60;      ;       ;                                                       ;
Teutsch 82             ;Nor  ;16 30 58.0 -48 23 57 ;Op   ;OC?  ;    2.20;      ;       ;                                                       ;
La Serena 365          ;Nor  ;16 30 58.7 -48 43 53 ;IR   ;OC?  ;    0.45;      ;       ;IRAS 16272-4837                                        ;
La Serena 366          ;Nor  ;16 31 22.0 -47 56 52 ;IR   ;OC?  ;    0.55;      ;       ;IRAS 16276-4750                                        ;
Urq G336.07+0.02       ;Nor  ;16 31 34.4 -48 08 58 ;IR   ;EC?  ;    0.40;  7600;       ;                                                       ;
VVVX CL 41             ;Nor  ;16 31 35.7 -44 10 30 ;Op   ;OC   ;    1.10;      ;       ;                                                       ;Ryu 336 ?
Ryu 42                 ;Nor  ;16 31 40.2 -51 18 41 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
VVV-CL 74              ;Nor  ;16 32 06.0 -47 49 32 ;IR   ;OC?  ;    1.10; 10200;   6.65;                                                       ;
VVVX CL 42             ;Nor  ;16 32 31.9 -44 55 28 ;Op   ;OC   ;    2.10;      ;       ;                                                       ;Embedded +Variable Star of FU Ori type: V* V346 Nor
LMR 227                ;Nor  ;16 33 10.0 -47 56 48 ;IR   ;OB   ;   33.00;  7800;       ;                                                       ;
Ryu 49                 ;Nor  ;16 33 22.4 -49 01 48 ;IR   ;OC?  ;    0.60;      ;       ;                                                       ;
VVV-CL 75              ;Nor  ;16 33 30.0 -48 03 35 ;IR   ;OC   ;    0.90;  9980;       ;                                                       ;
La Serena 368          ;Nor  ;16 33 41.4 -47 50 32 ;IR   ;OC?  ;    0.90;      ;       ;                                                       ;
VVV-CL 76              ;Nor  ;16 33 48.0 -47 38 49 ;IR   ;OC?  ;    0.70;      ;       ;                                                       ;
Ryu 320                ;Nor  ;16 33 51.3 -49 01 14 ;Op   ;OC?  ;    0.80;      ;       ;                                                       ;
La Serena 369          ;Nor  ;16 34 04.7 -47 16 35 ;IR   ;OC?  ;    0.50;      ;       ;IRAS 16304-4710                                        ;
Kn-DeCAPS 70           ;Nor  ;16 34 08.4 -51 26 10 ;Op   ;OC   ;    4.50;      ;       ;                                                       ;
La Serena 370          ;Nor  ;16 34 11.0 -48 06 13 ;IR   ;OC?  ;    0.60;      ;       ;                                                       ;
SFC 36                 ;Nor  ;16 34 19.2 -47 56 52 ;IR   ;OB   ;   12.00;  7800;       ;RMM 36                                                 ;
La Serena 372          ;Nor  ;16 34 21.4 -48 05 02 ;IR   ;OC?  ;    0.45;      ;       ;IRAS 16306-4758                                        ;
Bica 509               ;Nor  ;16 34 27.0 -47 57 24 ;IR   ;OC   ;    2.00;      ;       ;                                                       ;
Ryu 27                 ;Nor  ;16 34 27.8 -53 40 53 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
NGC 6167               ;Nor  ;16 34 38.9 -49 45 32 ;Op   ;OC   ;   10.20;  1467;   7.89;Harvard 11                                             ;
Ophiuchus stream       ;Oph  ;16 07 12.0 -06 55 30 ;Op   ;GCR  ;  150.00;  9500;  10.07;                                                       ;GC remnant, 150 x 7
Sco I                  ;Oph  ;16 25 29.9 -23 25 47 ;Op   ;YAs? ;  540.00;   210;       ;Sco T1                                                 ;Alpha Sco
Rho Oph Centre         ;Oph  ;16 25 30.0 -24 07 11 ;IR   ;OC   ;   13.00;      ;       ;                                                       ;extrem. absorb.,in rho Oph Cld
Mamajek 5              ;Oph  ;16 25 36.0 -23 26 00 ;Op   ;OC   ;   28.00;   140;       ;Rho Oph Cl, Mamajek J1625-2326                         ;Dist of Rho Oph (Gaia-TGas)
Grasdalen 1            ;Oph  ;16 26 42.6 -24 31 10 ;IR   ;YAs  ;   54.00;   148;   7.90;Rho Oph Dark Cloud Cl, BDB 271, LDN 1688 Grp           ;Very proeminent, includes 5-7 clusters/subgroups
Rho Oph ES             ;Oph  ;16 27 17.5 -24 39 06 ;IR   ;EC   ;   13.00;   142;       ;                                                       ;Rho Oph Core E South, rho Oph E, LDN 1688 Core-1, SKF Oph EF, in LDN 1688, in rho Oph. Cloud
Rho Oph EN             ;Oph  ;16 27 25.1 -24 28 38 ;IR   ;EC   ;   10.00;   140;       ;                                                       ;Rho Oph Core E North, SKF Oph B, south of rho Oph Cluster
DELVE 1                ;Oph  ;16 30 54.0 -00 58 19 ;Op   ;GC   ;    2.00; 19000;  10.10;                                                       ;
Bonatto 2              ;Oph  ;16 31 26.0 -24 29 05 ;IR   ;OC   ;   12.00;   145;       ;                                                       ;In Rho Oph Group
Bonatto 3              ;Oph  ;16 31 34.0 -24 03 27 ;IR   ;EC   ;    5.00;   130;       ;                                                       ;In Rho Oph Group
NGC 6171               ;Oph  ;16 32 31.9 -13 03 14 ;Op   ;GC   ;   27.60;  6397;  10.10;M 107                                                  ;
NGC 6218               ;Oph  ;16 47 14.2 -01 56 56 ;Op   ;GC   ;   36.00;  4797;  10.10;M 12                                                   ;
NGC 6254               ;Oph  ;16 57 08.9 -04 06 00 ;Op   ;GC   ;   31.80;  4405;  10.10;M 10                                                   ;
NGC 6266               ;Oph  ;17 01 12.7 -30 06 50 ;Op   ;GC   ;   25.20;  6805;  10.10;M 62                                                   ;
NGC 6273               ;Oph  ;17 02 37.7 -26 16 05 ;Op   ;GC   ;   25.20;  8794;  10.10;M 19                                                   ;
ESO 587-4              ;Oph  ;17 04 20.9 -19 27 00 ;Op   ;OC   ;    5.60;  5271;   9.16;                                                       ;
Majaess 178            ;Oph  ;17 11 26.7 -27 25 34 ;Op   ;OC   ;   23.00;   160;       ;                                                       ;
NGC 6333               ;Oph  ;17 19 11.3 -18 30 58 ;Op   ;GC   ;   23.40;  7892;  10.10;M 9                                                    ;
Camargo 1102           ;Oph  ;17 21 44.9 -26 32 40 ;IR   ;GC?  ;    1.00;  8200;       ;VVVX-GC 1                                              ;Dubious, not a GC (arXiv:1904.10872v1)
NGC 6360               ;Oph  ;17 25 30.0 -29 58 30 ;Op   ;OCR? ;   17.40;  4499;   8.95;                                                       ;
Trumpler 26            ;Oph  ;17 28 30.2 -29 29 13 ;Op   ;OC   ;    8.60;  1534;   8.56;Harvard 15                                             ;
HP 1                   ;Oph  ;17 31 05.0 -29 58 01 ;Op   ;GC   ;   15.60;  8197;  10.10;BH 229, Dufay 1                                        ;
FSR 1                  ;Oph  ;17 32 22.0 -27 03 39 ;Op   ;GC?  ;    6.00;  4400;       ;                                                       ;Alessi: Nothing resembling a GC at this position
Terzan-Ju 20           ;Oph  ;17 33 30.9 -29 19 34 ;Op   ;OC?  ;    7.00;  2160;   8.80;C1730-293, IRAS 17301-2917                             ;Dubious, stellar core?
FSR 19                 ;Oph  ;17 35 38.4 -21 04 12 ;Op   ;GC?  ;   10.80;  5984;  10.10;                                                       ;Dubious, not a GC (arXiv:1904.10872v1)
Camargo 1105           ;Oph  ;17 36 33.9 -28 18 39 ;IR   ;GC?  ;    1.00;  5800;       ;                                                       ;Dubious, not a GC (arXiv:1904.10872v1)
NGC 6402               ;Oph  ;17 37 36.0 -03 14 46 ;Op   ;GC   ;   36.00;  9298;  10.10;M 14                                                   ;
Mamajek 2              ;Oph  ;17 37 53.3 -08 05 06 ;Op   ;OC   ;   45.00;   197;   8.32;Mu Oph Cl                                              ;
VVV-CL 3               ;Oph  ;17 38 55.0 -29 54 25 ;IR   ;GC?  ;    2.00; 13000;       ;                                                       ;Dubious, not a GC (arXiv:1904.10872v1)
DB 60                  ;Oph  ;17 39 20.0 -23 41 00 ;Op   ;OC?  ;    1.00;  3054;   9.20;BDB 4                                                  ;
VVV-CL 2               ;Oph  ;17 41 06.0 -28 50 42 ;IR   ;GC   ;    2.00;  7300;   9.81;                                                       ;
FSR 25                 ;Oph  ;17 41 43.0 -19 34 16 ;Op   ;GC?  ;    9.60;  7074;  10.10;                                                       ;Dubious, not a GC (arXiv:1904.10872v1)
DB 52                  ;Oph  ;17 42 28.0 -29 56 23 ;IR   ;OC   ;    0.90;  8230;       ;                                                       ;
VVV-CL 134             ;Oph  ;17 42 30.0 -30 01 17 ;IR   ;EC   ;    0.20;  8500;       ;                                                       ;Embedded cluster
LMR 275                ;Oph  ;17 42 34.0 -30 02 16 ;IR   ;OB   ;    7.00;  8500;       ;                                                       ;
VVV-CL 135             ;Oph  ;17 42 43.0 -29 51 35 ;IR   ;EC   ;    0.50;  1800;       ;                                                       ;In HII reg Terz N 124 (not PN), dist very uncertain
DB 20                  ;Oph  ;17 43 12.0 -27 55 04 ;IR   ;OC   ;    1.00;  2190;       ;                                                       ;
Pfleiderer 2           ;Oph  ;17 58 38.9 -05 04 19 ;Op   ;GC   ;   10.80;  8677;   9.00;                                                       ;
Collinder 359          ;Oph  ;18 02 23.5 +03 15 36 ;Op   ;OCR? ;  187.40;   551;   7.51;Melotte 186                                            ;Suggested as OCR by van Albada (1968)
Alessi 19              ;Oph  ;18 18 57.8 +12 18 40 ;Op   ;OC   ;   71.40;   575;   7.38;LeDrew 5                                               ;
Alessi 29              ;Ori  ;04 49 26.4 +10 40 34 ;Op   ;OC   ;   10.00;  1159;   7.10;Lotkin-Popova 15                                       ;
Lotkin-Popova 15       ;Ori  ;04 49 26.4 +10 40 34 ;Op   ;OC   ;   10.00;  1159;  7.10 ;                                                       ;
Escorial 2             ;Ori  ;05 00 59.0 +03 38 46 ;Op   ;OC?  ;   85.00;   327;       ;V1360 Ori Cl                                           ;
AWG 1                  ;Ori  ;05 06 52.0 -03 20 37 ;IR   ;OC   ;   13.00;   396;   6.49;NGC 1788 Cl                                            ;AWG is AKARI-WISE-Gaia (Alessi, 2018)
UPK 399                ;Ori  ;05 15 10.7 +06 16 54 ;Op   ;OC   ;   58.30;   804;   7.93;Kernya 28, HD 34066 Grp, Theia 271                     ;
Rigel Cl               ;Ori  ;05 16 24.5 -07 58 57 ;Op   ;OC   ;  339.00;   312;       ;                                                       ;
Zannin J0520-05        ;Ori  ;05 20 38.0 -05 49 22 ;Op   ;OC   ;   26.00;   388;       ;AWG 3                                                  ;
